FEN,Evaluation
r1b1k2r/pp2bpp1/4pn1p/1Q2n2q/3N4/2N1B1P1/PP2PPBP/R4RK1 b kq - 4 13,"{'type': 'cp', 'value': 86}"
r3k2r/pp1bbpp1/4pn1p/1Q2n2q/3N4/2N1B1P1/PP2PPBP/R4RK1 w kq - 5 14,"{'type': 'cp', 'value': 77}"
r3k2r/pQ1bbpp1/4pn1p/4n2q/3N4/2N1B1P1/PP2PPBP/R4RK1 b kq - 0 14,"{'type': 'cp', 'value': 98}"
r4rk1/pQ1bbpp1/4pn1p/4n2q/3N4/2N1B1P1/PP2PPBP/R4RK1 w - - 1 15,"{'type': 'cp', 'value': 79}"
r4rk1/pQ1bbpp1/4pn1p/4n2q/3N1B2/2N3P1/PP2PPBP/R4RK1 b - - 2 15,"{'type': 'cp', 'value': -8}"
1r3rk1/pQ1bbpp1/4pn1p/4n2q/3N1B2/2N3P1/PP2PPBP/R4RK1 w - - 3 16,"{'type': 'cp', 'value': 11}"
1r3rk1/p1Qbbpp1/4pn1p/4n2q/3N1B2/2N3P1/PP2PPBP/R4RK1 b - - 4 16,"{'type': 'cp', 'value': -50}"
1r3rk1/p1Qbbpp1/4pnnp/7q/3N1B2/2N3P1/PP2PPBP/R4RK1 w - - 5 17,"{'type': 'cp', 'value': 25}"
1Q3rk1/p2bbpp1/4pnnp/7q/3N1B2/2N3P1/PP2PPBP/R4RK1 b - - 0 17,"{'type': 'cp', 'value': -65}"
1r4k1/p2bbpp1/4pnnp/7q/3N1B2/2N3P1/PP2PPBP/R4RK1 w - - 0 18,"{'type': 'cp', 'value': -69}"
1B4k1/p2bbpp1/4pnnp/7q/3N4/2N3P1/PP2PPBP/R4RK1 b - - 0 18,"{'type': 'cp', 'value': -63}"
1B4k1/p2bbpp1/4pnnp/q7/3N4/2N3P1/PP2PPBP/R4RK1 w - - 1 19,"{'type': 'cp', 'value': -54}"
1B4k1/p2bbpp1/4pnnp/q7/8/1NN3P1/PP2PPBP/R4RK1 b - - 2 19,"{'type': 'cp', 'value': -99}"
1B4k1/p2bbpp1/1q2pnnp/8/8/1NN3P1/PP2PPBP/R4RK1 w - - 3 20,"{'type': 'cp', 'value': -117}"
6k1/p2bbpp1/1q2pnnp/8/5B2/1NN3P1/PP2PPBP/R4RK1 b - - 4 20,"{'type': 'cp', 'value': -118}"
6k1/p2bbpp1/1q2pn1p/8/5n2/1NN3P1/PP2PPBP/R4RK1 w - - 0 21,"{'type': 'cp', 'value': -104}"
6k1/p2bbpp1/1q2pn1p/8/5P2/1NN5/PP2PPBP/R4RK1 b - - 0 21,"{'type': 'cp', 'value': -113}"
6k1/p3bpp1/1qb1pn1p/8/5P2/1NN5/PP2PPBP/R4RK1 w - - 1 22,"{'type': 'cp', 'value': -108}"
6k1/p3bpp1/1qB1pn1p/8/5P2/1NN5/PP2PP1P/R4RK1 b - - 0 22,"{'type': 'cp', 'value': -88}"
6k1/p3bpp1/2q1pn1p/8/5P2/1NN5/PP2PP1P/R4RK1 w - - 0 23,"{'type': 'cp', 'value': -96}"
6k1/p3bpp1/2q1pn1p/8/5P2/1NN5/PP2PP1P/R2R2K1 b - - 1 23,"{'type': 'cp', 'value': -110}"
6k1/p1q1bpp1/4pn1p/8/5P2/1NN5/PP2PP1P/R2R2K1 w - - 2 24,"{'type': 'cp', 'value': -113}"
6k1/p1q1bpp1/4pn1p/8/5P2/1NN1P3/PP3P1P/R2R2K1 b - - 0 24,"{'type': 'cp', 'value': -123}"
6k1/pq2bpp1/4pn1p/8/5P2/1NN1P3/PP3P1P/R2R2K1 w - - 1 25,"{'type': 'cp', 'value': -72}"
6k1/pq2bpp1/4pn1p/8/5P2/1N2P3/PP2NP1P/R2R2K1 b - - 2 25,"{'type': 'cp', 'value': -84}"
6k1/pq2bpp1/5n1p/4p3/5P2/1N2P3/PP2NP1P/R2R2K1 w - - 0 26,"{'type': 'cp', 'value': -99}"
6k1/pq2bpp1/5n1p/4P3/8/1N2P3/PP2NP1P/R2R2K1 b - - 0 26,"{'type': 'cp', 'value': -89}"
6k1/pq2bpp1/7p/4P3/6n1/1N2P3/PP2NP1P/R2R2K1 w - - 1 27,"{'type': 'cp', 'value': -82}"
6k1/pq2bpp1/7p/4P3/3N2n1/4P3/PP2NP1P/R2R2K1 b - - 2 27,"{'type': 'cp', 'value': -109}"
6k1/pq2bpp1/7p/4n3/3N4/4P3/PP2NP1P/R2R2K1 w - - 0 28,"{'type': 'cp', 'value': -97}"
6k1/pq2bpp1/7p/4n3/3N4/4P3/PP2NP1P/1R1R2K1 b - - 1 28,"{'type': 'cp', 'value': -107}"
6k1/pq2bpp1/6np/8/3N4/4P3/PP2NP1P/1R1R2K1 w - - 2 29,"{'type': 'cp', 'value': -96}"
6k1/pq2bpp1/6np/8/8/4P3/PPN1NP1P/1R1R2K1 b - - 3 29,"{'type': 'cp', 'value': -125}"
6k1/pq2bpp1/6n1/7p/8/4P3/PPN1NP1P/1R1R2K1 w - - 0 30,"{'type': 'cp', 'value': -117}"
6k1/pq2bpp1/6n1/7p/8/4P3/PPN1NP1P/2RR2K1 b - - 1 30,"{'type': 'cp', 'value': -161}"
6k1/p3bpp1/6n1/7p/8/4P3/PqN1NP1P/2RR2K1 w - - 0 31,"{'type': 'cp', 'value': -129}"
6k1/p3bpp1/6n1/3R3p/8/4P3/PqN1NP1P/2R3K1 b - - 1 31,"{'type': 'cp', 'value': -135}"
6k1/p3bpp1/8/3R3p/7n/4P3/PqN1NP1P/2R3K1 w - - 2 32,"{'type': 'cp', 'value': -118}"
6k1/p3bpp1/8/3R3p/7n/4P2P/PqN1NP2/2R3K1 b - - 0 32,"{'type': 'cp', 'value': -197}"
6k1/pq2bpp1/8/3R3p/7n/4P2P/P1N1NP2/2R3K1 w - - 1 33,"{'type': 'cp', 'value': -197}"
6k1/pq2bpp1/8/3R3p/7n/4P2P/P1N1NP2/3R2K1 b - - 2 33,"{'type': 'cp', 'value': -215}"
6k1/pq2bpp1/8/3R3p/8/4Pn1P/P1N1NP2/3R2K1 w - - 3 34,"{'type': 'cp', 'value': -196}"
6k1/pq2bpp1/8/3R3p/8/4Pn1P/P1N1NPK1/3R4 b - - 4 34,"{'type': 'cp', 'value': -191}"
6k1/pq2bpp1/8/3R3p/7n/4P2P/P1N1NPK1/3R4 w - - 5 35,"{'type': 'cp', 'value': -188}"
6k1/pq2bpp1/8/3R3p/7n/4P2P/P1N1NP2/3R2K1 b - - 6 35,"{'type': 'cp', 'value': -213}"
2q3k1/p3bpp1/8/3R3p/7n/4P2P/P1N1NP2/3R2K1 w - - 7 36,"{'type': 'cp', 'value': -200}"
2q3k1/p3bpp1/8/3R3p/7n/4P2P/P3NP2/3RN1K1 b - - 8 36,"{'type': 'cp', 'value': -185}"
6k1/p3bpp1/8/3R3p/7n/4P2q/P3NP2/3RN1K1 w - - 0 37,"{'type': 'cp', 'value': -192}"
6k1/p3bpp1/8/3R3p/7n/4P1Nq/P4P2/3RN1K1 b - - 1 37,"{'type': 'cp', 'value': -244}"
