FEN,Evaluation
6k1/p3bp2/6p1/3R3p/7n/4P1Nq/P4P2/3RN1K1 w - - 0 38,"{'type': 'cp', 'value': -206}"
6k1/p3bp2/6p1/1R5p/7n/4P1Nq/P4P2/3RN1K1 b - - 1 38,"{'type': 'cp', 'value': -272}"
2q3k1/p3bp2/6p1/1R5p/7n/4P1N1/P4P2/3RN1K1 w - - 2 39,"{'type': 'cp', 'value': -234}"
2q3k1/p3bp2/6p1/4R2p/7n/4P1N1/P4P2/3RN1K1 b - - 3 39,"{'type': 'cp', 'value': -274}"
6k1/pq2bp2/6p1/4R2p/7n/4P1N1/P4P2/3RN1K1 w - - 4 40,"{'type': 'cp', 'value': -235}"
6k1/pq2bp2/6p1/3R3p/7n/4P1N1/P4P2/3RN1K1 b - - 5 40,"{'type': 'cp', 'value': -224}"
6k1/pq3p2/5bp1/3R3p/7n/4P1N1/P4P2/3RN1K1 w - - 6 41,"{'type': 'cp', 'value': -226}"
6k1/pq3p2/5bp1/3R3p/4N2n/4P3/P4P2/3RN1K1 b - - 7 41,"{'type': 'cp', 'value': -207}"
6k1/pq2bp2/6p1/3R3p/4N2n/4P3/P4P2/3RN1K1 w - - 8 42,"{'type': 'cp', 'value': -194}"
6k1/pq2bp2/6p1/3R3p/P3N2n/4P3/5P2/3RN1K1 b - - 0 42,"{'type': 'cp', 'value': -241}"
6k1/p3bp2/2q3p1/3R3p/P3N2n/4P3/5P2/3RN1K1 w - - 1 43,"{'type': 'cp', 'value': -245}"
6k1/p3bp2/2q3p1/3R3p/P6n/4P1N1/5P2/3RN1K1 b - - 2 43,"{'type': 'cp', 'value': -263}"
6k1/p4p2/2q3p1/2bR3p/P6n/4P1N1/5P2/3RN1K1 w - - 3 44,"{'type': 'cp', 'value': -232}"
3R2k1/p4p2/2q3p1/2b4p/P6n/4P1N1/5P2/3RN1K1 b - - 4 44,"{'type': 'cp', 'value': -207}"
3R4/p4pk1/2q3p1/2b4p/P6n/4P1N1/5P2/3RN1K1 w - - 5 45,"{'type': 'cp', 'value': -182}"
3R4/p4pk1/2q3p1/2b4p/P6n/4P1N1/5P2/2R1N1K1 b - - 6 45,"{'type': 'cp', 'value': -234}"
3R4/p4pk1/5qp1/2b4p/P6n/4P1N1/5P2/2R1N1K1 w - - 7 46,"{'type': 'cp', 'value': -216}"
4R3/p4pk1/5qp1/2b4p/P6n/4P1N1/5P2/2R1N1K1 b - - 8 46,"{'type': 'cp', 'value': -235}"
4R3/p4pk1/6p1/2b3qp/P6n/4P1N1/5P2/2R1N1K1 w - - 9 47,"{'type': 'cp', 'value': -207}"
4R3/p4pk1/6p1/2b3qp/P6n/4P1N1/5P2/2R1NK2 b - - 10 47,"{'type': 'cp', 'value': -210}"
4R3/p4pk1/6p1/2bq3p/P6n/4P1N1/5P2/2R1NK2 w - - 11 48,"{'type': 'cp', 'value': -207}"
4R3/p4pk1/6p1/2bq3p/P6n/4P1N1/4KP2/2R1N3 b - - 12 48,"{'type': 'cp', 'value': -233}"
4R3/5pk1/6p1/p1bq3p/P6n/4P1N1/4KP2/2R1N3 w - - 0 49,"{'type': 'cp', 'value': -199}"
8/5pk1/6p1/p1bq3p/P3R2n/4P1N1/4KP2/2R1N3 b - - 1 49,"{'type': 'cp', 'value': -215}"
8/5pk1/6p1/p2q3p/Pb2R2n/4P1N1/4KP2/2R1N3 w - - 2 50,"{'type': 'cp', 'value': -228}"
8/5pk1/6p1/p2q3p/Pb1R3n/4P1N1/4KP2/2R1N3 b - - 3 50,"{'type': 'cp', 'value': -316}"
8/5pk1/6p1/p6p/Pb1R3n/4P1N1/q3KP2/2R1N3 w - - 4 51,"{'type': 'cp', 'value': -337}"
8/5pk1/6p1/p6p/Pb1R3n/4P1N1/q1R1KP2/4N3 b - - 5 51,"{'type': 'cp', 'value': -297}"
8/5pk1/6p1/p6p/Pb1R3n/4P1N1/2R1KP2/1q2N3 w - - 6 52,"{'type': 'cp', 'value': -320}"
8/5pk1/6p1/p6p/Pb5n/4P1N1/2RRKP2/1q2N3 b - - 7 52,"{'type': 'cp', 'value': -435}"
8/5pk1/6p1/p6p/P6n/4P1N1/2RbKP2/1q2N3 w - - 0 53,"{'type': 'cp', 'value': -419}"
8/5pk1/6p1/p6p/P6n/4P1N1/3RKP2/1q2N3 b - - 0 53,"{'type': 'cp', 'value': -415}"
8/5p1k/6p1/p6p/P6n/4P1N1/3RKP2/1q2N3 w - - 1 54,"{'type': 'cp', 'value': -398}"
8/5p1k/6p1/p6p/P6n/3NP1N1/3RKP2/1q6 b - - 2 54,"{'type': 'cp', 'value': -429}"
8/1q3p1k/6p1/p6p/P6n/3NP1N1/3RKP2/8 w - - 3 55,"{'type': 'cp', 'value': -386}"
8/1q3p1k/6p1/p3N2p/P6n/4P1N1/3RKP2/8 b - - 4 55,"{'type': 'cp', 'value': -408}"
8/1q3p2/6pk/p3N2p/P6n/4P1N1/3RKP2/8 w - - 5 56,"{'type': 'cp', 'value': -347}"
8/1q3p2/6pk/p3N2p/P2R3n/4P1N1/4KP2/8 b - - 6 56,"{'type': 'cp', 'value': -365}"
8/1q3p2/7k/p3N1pp/P2R3n/4P1N1/4KP2/8 w - - 0 57,"{'type': 'cp', 'value': -362}"
8/1q3p2/7k/p5pp/P1NR3n/4P1N1/4KP2/8 b - - 1 57,"{'type': 'cp', 'value': -380}"
8/2q2p2/7k/p5pp/P1NR3n/4P1N1/4KP2/8 w - - 2 58,"{'type': 'cp', 'value': -325}"
8/2q2p2/7k/p5pp/P2R3n/4P1N1/3NKP2/8 b - - 3 58,"{'type': 'cp', 'value': -361}"
8/2q5/5p1k/p5pp/P2R3n/4P1N1/3NKP2/8 w - - 0 59,"{'type': 'cp', 'value': -348}"
8/2q5/5p1k/p5pp/P2RN2n/4P3/3NKP2/8 b - - 1 59,"{'type': 'cp', 'value': -364}"
8/2q5/5p1k/p4npp/P2RN3/4P3/3NKP2/8 w - - 2 60,"{'type': 'cp', 'value': -351}"
8/2q5/5p1k/p2R1npp/P3N3/4P3/3NKP2/8 b - - 3 60,"{'type': 'cp', 'value': -378}"
8/2q1n3/5p1k/p2R2pp/P3N3/4P3/3NKP2/8 w - - 4 61,"{'type': 'cp', 'value': -336}"
8/2q1n3/3R1p1k/p5pp/P3N3/4P3/3NKP2/8 b - - 5 61,"{'type': 'cp', 'value': -372}"
6n1/2q5/3R1p1k/p5pp/P3N3/4P3/3NKP2/8 w - - 6 62,"{'type': 'cp', 'value': -367}"
6n1/2q5/3R1p1k/p5pp/P3N3/4P3/3N1P2/5K2 b - - 7 62,"{'type': 'cp', 'value': -367}"
6n1/2q5/3R1p1k/p6p/P3N1p1/4P3/3N1P2/5K2 w - - 0 63,"{'type': 'cp', 'value': -334}"
6n1/2q5/3R1p1k/p6p/P5p1/4P1N1/3N1P2/5K2 b - - 1 63,"{'type': 'cp', 'value': -342}"
6n1/2q5/3R1pk1/p6p/P5p1/4P1N1/3N1P2/5K2 w - - 2 64,"{'type': 'cp', 'value': -337}"
6n1/2q5/5pk1/p6p/P2R2p1/4P1N1/3N1P2/5K2 b - - 3 64,"{'type': 'cp', 'value': -332}"
6n1/8/1q3pk1/p6p/P2R2p1/4P1N1/3N1P2/5K2 w - - 4 65,"{'type': 'cp', 'value': -315}"
6n1/8/1q3pk1/p6p/P2R2p1/4P3/3NNP2/5K2 b - - 5 65,"{'type': 'cp', 'value': -348}"
8/4n3/1q3pk1/p6p/P2R2p1/4P3/3NNP2/5K2 w - - 6 66,"{'type': 'cp', 'value': -318}"
8/4n3/1q3pk1/p6p/P2R1Np1/4P3/3N1P2/5K2 b - - 7 66,"{'type': 'cp', 'value': -335}"
8/4n3/1q3p1k/p6p/P2R1Np1/4P3/3N1P2/5K2 w - - 8 67,"{'type': 'cp', 'value': -334}"
8/3Rn3/1q3p1k/p6p/P4Np1/4P3/3N1P2/5K2 b - - 9 67,"{'type': 'cp', 'value': -379}"
8/3Rn3/5p1k/p1q4p/P4Np1/4P3/3N1P2/5K2 w - - 10 68,"{'type': 'cp', 'value': -338}"
8/4n3/5p1k/p1q4p/P2R1Np1/4P3/3N1P2/5K2 b - - 11 68,"{'type': 'cp', 'value': -360}"
8/2q1n3/5p1k/p6p/P2R1Np1/4P3/3N1P2/5K2 w - - 12 69,"{'type': 'cp', 'value': -338}"
8/2q1n3/5p1k/p6p/P2R1Np1/4P3/3N1P2/6K1 b - - 13 69,"{'type': 'cp', 'value': -379}"
8/2q5/2n2p1k/p6p/P2R1Np1/4P3/3N1P2/6K1 w - - 14 70,"{'type': 'cp', 'value': -349}"
8/2q5/2n2p1k/p6p/P1R2Np1/4P3/3N1P2/6K1 b - - 15 70,"{'type': 'cp', 'value': -378}"
8/3q4/2n2p1k/p6p/P1R2Np1/4P3/3N1P2/6K1 w - - 16 71,"{'type': 'cp', 'value': -365}"
8/3q4/2n2p1k/p6p/P1R1NNp1/4P3/5P2/6K1 b - - 17 71,"{'type': 'cp', 'value': -408}"
8/3q4/5p1k/p3n2p/P1R1NNp1/4P3/5P2/6K1 w - - 18 72,"{'type': 'cp', 'value': -344}"
8/3q4/5p1k/p3n2p/P3NNp1/4P3/5P2/2R3K1 b - - 19 72,"{'type': 'cp', 'value': -365}"
8/3q4/5p1k/p3n3/P3NNpp/4P3/5P2/2R3K1 w - - 0 73,"{'type': 'cp', 'value': -335}"
8/3q4/5N1k/p3n3/P4Npp/4P3/5P2/2R3K1 b - - 0 73,"{'type': 'cp', 'value': -362}"
8/8/5N1k/p3n3/P4Npp/4P3/3q1P2/2R3K1 w - - 1 74,"{'type': 'cp', 'value': -414}"
8/8/5N1k/p3n3/P4Npp/4P3/3q1P2/R5K1 b - - 2 74,"{'type': 'cp', 'value': -427}"
8/8/5N1k/p3n3/P4N1p/4P1p1/3q1P2/R5K1 w - - 0 75,"{'type': 'cp', 'value': -417}"
8/8/5N1k/p3n3/P4N1p/4P1p1/3q1P2/5RK1 b - - 1 75,"{'type': 'cp', 'value': -416}"
8/8/5N1k/p3n3/P4N1p/4P1p1/q4P2/5RK1 w - - 2 76,"{'type': 'cp', 'value': -388}"
8/8/5N1k/p3n3/P4N1p/4P1p1/q4PK1/5R2 b - - 3 76,"{'type': 'cp', 'value': -398}"
8/8/5N1k/p3n3/P4N1p/4P1p1/2q2PK1/5R2 w - - 4 77,"{'type': 'cp', 'value': -410}"
8/8/4NN1k/p3n3/P6p/4P1p1/2q2PK1/5R2 b - - 5 77,"{'type': 'cp', 'value': -464}"
8/8/2q1NN1k/p3n3/P6p/4P1p1/5PK1/5R2 w - - 6 78,"{'type': 'cp', 'value': -443}"
8/8/2q1NN1k/p3n3/P3P2p/6p1/5PK1/5R2 b - - 0 78,"{'type': 'cp', 'value': -503}"
8/8/4qN1k/p3n3/P3P2p/6p1/5PK1/5R2 w - - 0 79,"{'type': 'cp', 'value': -474}"
8/8/4qN1k/p3n3/P3P2p/6P1/6K1/5R2 b - - 0 79,"{'type': 'cp', 'value': -415}"
8/8/5N1k/p3n3/P3P2p/6P1/q5K1/5R2 w - - 1 80,"{'type': 'cp', 'value': -423}"
8/8/5N1k/p3n3/P3P2p/6P1/q4RK1/8 b - - 2 80,"{'type': 'cp', 'value': -630}"
8/8/5N1k/p3n3/P3P3/6Pp/q4RK1/8 w - - 0 81,"{'type': 'cp', 'value': -676}"
8/8/5N1k/p3n3/P3P3/6Pp/q4R2/7K b - - 1 81,"{'type': 'mate', 'value': -3}"
8/8/5N1k/p3n3/P3P3/6Pp/5R2/q6K w - - 2 82,"{'type': 'cp', 'value': -401}"
8/8/5N1k/p3n3/P3P3/6Pp/5R1K/q7 b - - 3 82,"{'type': 'cp', 'value': -445}"
8/8/5N1k/p3n3/P3P3/6Pp/5R1K/4q3 w - - 4 83,"{'type': 'cp', 'value': -420}"
8/8/5N1k/p3nR2/P3P3/6Pp/7K/4q3 b - - 5 83,"{'type': 'cp', 'value': -428}"
8/8/5N1k/p4R2/P3P3/5nPp/7K/4q3 w - - 6 84,"{'type': 'cp', 'value': -378}"
8/8/5N1k/p4R2/P3P3/5nPK/8/4q3 b - - 0 84,"{'type': 'cp', 'value': -440}"
8/8/5N1k/p4R2/P2nP3/6PK/8/4q3 w - - 1 85,"{'type': 'cp', 'value': -444}"
8/8/5N1k/p4R2/P2nP1K1/6P1/8/4q3 b - - 2 85,"{'type': 'cp', 'value': -503}"
8/8/5Nk1/p4R2/P2nP1K1/6P1/8/4q3 w - - 3 86,"{'type': 'cp', 'value': -445}"
8/8/5Nk1/p7/P2nPRK1/6P1/8/4q3 b - - 4 86,"{'type': 'cp', 'value': -572}"
8/8/5Nk1/p7/P3PRK1/6P1/2n5/4q3 w - - 5 87,"{'type': 'cp', 'value': -576}"
8/8/6k1/p2N4/P3PRK1/6P1/2n5/4q3 b - - 6 87,"{'type': 'cp', 'value': -592}"
8/8/6k1/p2N4/P3PRK1/6P1/2n5/3q4 w - - 7 88,"{'type': 'cp', 'value': -598}"
8/8/6k1/p2N4/P3PR2/6PK/2n5/3q4 b - - 8 88,"{'type': 'mate', 'value': -2}"
8/6k1/8/p2N4/P3PR2/6PK/2n5/3q4 w - - 9 89,"{'type': 'cp', 'value': -404}"
8/6k1/8/p2N4/P3PR1K/6P1/2n5/3q4 b - - 10 89,"{'type': 'cp', 'value': -428}"
8/6k1/8/p2N4/P3PR1K/6P1/2n5/7q w - - 11 90,"{'type': 'cp', 'value': -418}"
8/6k1/8/p2N2K1/P3PR2/6P1/2n5/7q b - - 12 90,"{'type': 'cp', 'value': -432}"
8/6k1/8/p2N2K1/P2nPR2/6P1/8/7q w - - 13 91,"{'type': 'cp', 'value': -378}"
8/6k1/8/p2N4/P2nPRK1/6P1/8/7q b - - 14 91,"{'type': 'cp', 'value': -427}"
8/6k1/8/p2N4/P3PRK1/6P1/4n3/7q w - - 15 92,"{'type': 'cp', 'value': -389}"
8/6k1/8/p2N1R2/P3P1K1/6P1/4n3/7q b - - 16 92,"{'type': 'cp', 'value': -385}"
8/6k1/8/p2N1R2/P3P1K1/6P1/4n1q1/8 w - - 17 93,"{'type': 'cp', 'value': -359}"
8/6k1/8/p2N4/P3P1K1/5RP1/4n1q1/8 b - - 18 93,"{'type': 'cp', 'value': -425}"
8/6k1/8/p2N4/P3P1K1/5RP1/6q1/6n1 w - - 19 94,"{'type': 'cp', 'value': -347}"
8/6k1/8/p2N1R2/P3P1K1/6P1/6q1/6n1 b - - 20 94,"{'type': 'cp', 'value': -484}"
8/6k1/8/p2N1R2/P3q1K1/6P1/8/6n1 w - - 0 95,"{'type': 'cp', 'value': -549}"
8/6k1/8/p4R2/P3qNK1/6P1/8/6n1 b - - 1 95,"{'type': 'cp', 'value': -548}"
8/6k1/8/p4R2/P3qNK1/6Pn/8/8 w - - 2 96,"{'type': 'cp', 'value': -575}"
8/6k1/8/p4R2/P3qN2/6PK/8/8 b - - 0 96,"{'type': 'cp', 'value': -550}"
8/6k1/8/p4q2/P4N2/6PK/8/8 w - - 0 97,"{'type': 'cp', 'value': -545}"
8/6k1/8/p4q2/P4N2/6P1/6K1/8 b - - 1 97,"{'type': 'cp', 'value': -601}"
8/3q2k1/8/p7/P4N2/6P1/6K1/8 w - - 2 98,"{'type': 'cp', 'value': -572}"
8/3q2k1/8/p7/P4N2/6P1/8/6K1 b - - 3 98,"{'type': 'cp', 'value': -608}"
8/6k1/8/p7/q4N2/6P1/8/6K1 w - - 0 99,"{'type': 'cp', 'value': -590}"
8/6k1/8/p7/q7/6P1/6N1/6K1 b - - 1 99,"{'type': 'cp', 'value': -624}"
8/6k1/8/p7/3q4/6P1/6N1/6K1 w - - 2 100,"{'type': 'cp', 'value': -628}"
8/6k1/8/p7/3q4/6P1/6N1/5K2 b - - 3 100,"{'type': 'cp', 'value': -652}"
8/6k1/8/8/p2q4/6P1/6N1/5K2 w - - 0 101,"{'type': 'cp', 'value': -635}"
8/6k1/8/8/p2q4/6P1/4K1N1/8 b - - 1 101,"{'type': 'cp', 'value': -678}"
8/6k1/8/8/3q4/p5P1/4K1N1/8 w - - 0 102,"{'type': 'cp', 'value': -666}"
8/6k1/8/8/3q4/p3N1P1/4K3/8 b - - 1 102,"{'type': 'cp', 'value': -697}"
8/6k1/8/8/4q3/p3N1P1/4K3/8 w - - 2 103,"{'type': 'cp', 'value': -690}"
8/6k1/8/8/4q1P1/p3N3/4K3/8 b - - 0 103,"{'type': 'mate', 'value': -7}"
5k2/8/8/8/4q1P1/p3N3/4K3/8 w - - 1 104,"{'type': 'cp', 'value': -797}"
5k2/8/8/8/4q1P1/p3N3/8/5K2 b - - 2 104,"{'type': 'mate', 'value': -4}"
5k2/8/8/8/6P1/p3Nq2/8/5K2 w - - 3 105,"{'type': 'mate', 'value': -5}"
5k2/8/8/8/6P1/p3Nq2/8/4K3 b - - 4 105,"{'type': 'mate', 'value': -4}"
5k2/8/8/8/6P1/4Nq2/p7/4K3 w - - 0 106,"{'type': 'mate', 'value': -14}"
5k2/8/8/8/6P1/5q2/p1N5/4K3 b - - 1 106,"{'type': 'cp', 'value': -1133}"
5k2/8/8/8/6q1/8/p1N5/4K3 w - - 0 107,"{'type': 'cp', 'value': -1281}"
5k2/8/8/8/6q1/8/p7/N3K3 b - - 1 107,"{'type': 'mate', 'value': -13}"
5k2/8/8/8/8/8/p7/N3K1q1 w - - 2 108,"{'type': 'mate', 'value': -7}"
5k2/8/8/8/8/8/p2K4/N5q1 b - - 3 108,"{'type': 'mate', 'value': -9}"
5k2/8/8/8/8/8/p2K2q1/N7 w - - 4 109,"{'type': 'mate', 'value': -10}"
5k2/8/8/8/8/8/p5q1/N3K3 b - - 5 109,"{'type': 'mate', 'value': -10}"
5k2/8/8/8/8/8/pq6/N3K3 w - - 6 110,"{'type': 'mate', 'value': -8}"
5k2/8/8/8/8/1N6/pq6/4K3 b - - 7 110,"{'type': 'mate', 'value': -4}"
5k2/8/8/8/8/1N6/p7/1q2K3 w - - 8 111,"{'type': 'mate', 'value': -5}"
5k2/8/8/8/8/1N6/p2K4/1q6 b - - 9 111,"{'type': 'mate', 'value': -4}"
5k2/8/8/8/8/1N6/pq1K4/8 w - - 10 112,"{'type': 'mate', 'value': -6}"
5k2/8/8/8/8/1N6/pq6/4K3 b - - 11 112,"{'type': 'mate', 'value': -5}"
5k2/8/8/8/8/1Nq5/p7/4K3 w - - 12 113,"{'type': 'mate', 'value': -8}"
5k2/8/8/8/8/1Nq5/p7/5K2 b - - 13 113,"{'type': 'mate', 'value': -4}"
5k2/8/8/8/8/1N5q/p7/5K2 w - - 14 114,"{'type': 'mate', 'value': -5}"
5k2/8/8/8/8/1N5q/p3K3/8 b - - 15 114,"{'type': 'mate', 'value': -4}"
5k2/8/8/8/8/1Nq5/p3K3/8 w - - 16 115,"{'type': 'mate', 'value': -8}"
5k2/8/8/8/8/2q5/p2NK3/8 b - - 17 115,"{'type': 'mate', 'value': -5}"
5k2/8/8/4q3/8/8/p2NK3/8 w - - 18 116,"{'type': 'mate', 'value': -4}"
5k2/8/8/4q3/8/8/p2N1K2/8 b - - 19 116,"{'type': 'mate', 'value': -7}"
5k2/8/8/8/8/8/p2N1K1q/8 w - - 20 117,"{'type': 'mate', 'value': -8}"
5k2/8/8/8/8/4K3/p2N3q/8 b - - 21 117,"{'type': 'mate', 'value': -12}"
5k2/8/8/8/8/4K3/p2N2q1/8 w - - 22 118,"{'type': 'mate', 'value': -10}"
5k2/8/8/8/8/4KN2/p5q1/8 b - - 23 118,"{'type': 'mate', 'value': -6}"
5k2/8/8/8/8/4KN1q/p7/8 w - - 24 119,"{'type': 'mate', 'value': -8}"
5k2/8/8/8/5K2/5N1q/p7/8 b - - 25 119,"{'type': 'cp', 'value': -1159}"
4k3/8/8/8/5K2/5N1q/p7/8 w - - 26 120,"{'type': 'cp', 'value': -1215}"
4k3/8/8/8/5K2/7q/p2N4/8 b - - 27 120,"{'type': 'mate', 'value': -6}"
4k3/8/8/8/5K1q/8/p2N4/8 w - - 28 121,"{'type': 'mate', 'value': -9}"
4k3/8/8/8/7q/5K2/p2N4/8 b - - 29 121,"{'type': 'mate', 'value': -8}"
4k3/8/8/7q/8/5K2/p2N4/8 w - - 30 122,"{'type': 'mate', 'value': -7}"
4k3/8/8/7q/8/4K3/p2N4/8 b - - 31 122,"{'type': 'mate', 'value': -8}"
4k3/8/8/8/8/4K2q/p2N4/8 w - - 32 123,"{'type': 'mate', 'value': -8}"
4k3/8/8/8/5K2/7q/p2N4/8 b - - 33 123,"{'type': 'mate', 'value': -6}"
4k3/8/4q3/8/5K2/8/p2N4/8 w - - 34 124,"{'type': 'mate', 'value': -10}"
4k3/8/4q3/8/5K2/5N2/p7/8 b - - 35 124,"{'type': 'mate', 'value': -8}"
4k3/5q2/8/8/5K2/5N2/p7/8 w - - 36 125,"{'type': 'mate', 'value': -9}"
4k3/5q2/8/8/8/4KN2/p7/8 b - - 37 125,"{'type': 'mate', 'value': -11}"
4k3/4q3/8/8/8/4KN2/p7/8 w - - 38 126,"{'type': 'mate', 'value': -8}"
4k3/4q3/8/8/8/5N2/p2K4/8 b - - 39 126,"{'type': 'mate', 'value': -6}"
4k3/8/8/8/1q6/5N2/p2K4/8 w - - 40 127,"{'type': 'mate', 'value': -7}"
4k3/8/8/8/1q6/3K1N2/p7/8 b - - 41 127,"{'type': 'mate', 'value': -10}"
4k3/4q3/8/8/8/3K1N2/p7/8 w - - 42 128,"{'type': 'mate', 'value': -9}"
4k3/4q3/8/8/8/3K4/p2N4/8 b - - 43 128,"{'type': 'mate', 'value': -9}"
4k3/3q4/8/8/8/3K4/p2N4/8 w - - 44 129,"{'type': 'cp', 'value': -1208}"
4k3/3q4/8/8/8/8/p2NK3/8 b - - 45 129,"{'type': 'mate', 'value': -8}"
4k3/4q3/8/8/8/8/p2NK3/8 w - - 46 130,"{'type': 'mate', 'value': -9}"
4k3/4q3/8/8/8/5K2/p2N4/8 b - - 47 130,"{'type': 'mate', 'value': -6}"
4k3/8/5q2/8/8/5K2/p2N4/8 w - - 48 131,"{'type': 'mate', 'value': -10}"
4k3/8/5q2/8/8/8/p2NK3/8 b - - 49 131,"{'type': 'mate', 'value': -6}"
4k3/8/q7/8/8/8/p2NK3/8 w - - 50 132,"{'type': 'cp', 'value': -1269}"
4k3/8/q7/8/8/8/p2N4/4K3 b - - 51 132,"{'type': 'mate', 'value': -7}"
4k3/8/q7/8/8/8/3N4/q3K3 w - - 0 133,"{'type': 'mate', 'value': -6}"
4k3/8/q7/8/8/8/8/qN2K3 b - - 1 133,"{'type': 'mate', 'value': -2}"
4k3/8/4q3/8/8/8/8/qN2K3 w - - 2 134,"{'type': 'mate', 'value': -4}"
4k3/8/4q3/8/8/8/5K2/qN6 b - - 3 134,"{'type': 'mate', 'value': -3}"
4k3/8/4q3/8/8/8/1q3K2/1N6 w - - 4 135,"{'type': 'mate', 'value': -4}"
4k3/8/4q3/8/8/6K1/1q6/1N6 b - - 5 135,"{'type': 'mate', 'value': -3}"
4k3/8/8/8/8/4q1K1/1q6/1N6 w - - 6 136,"{'type': 'mate', 'value': -2}"
4k3/8/8/8/6K1/4q3/1q6/1N6 b - - 7 136,"{'type': 'mate', 'value': -2}"
4k3/6q1/8/8/6K1/4q3/8/1N6 w - - 8 137,"{'type': 'mate', 'value': -1}"
4k3/6q1/8/8/7K/4q3/8/1N6 b - - 9 137,"{'type': 'mate', 'value': -1}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 29}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 30}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 31}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 31}"
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"{'type': 'cp', 'value': 31}"
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,"{'type': 'cp', 'value': 9}"
rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 1 4,"{'type': 'cp', 'value': 6}"
rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2P2N2/PPQP1PPP/RNB1KB1R b KQkq - 2 4,"{'type': 'cp', 'value': 0}"
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2P2N2/PPQP1PPP/RNB1KB1R w KQkq - 0 5,"{'type': 'cp', 'value': 28}"
rnbqkb1r/pp3ppp/3ppn2/2p5/3PP3/2P2N2/PPQ2PPP/RNB1KB1R b KQkq - 0 5,"{'type': 'cp', 'value': 26}"
rnb1kb1r/ppq2ppp/3ppn2/2p5/3PP3/2P2N2/PPQ2PPP/RNB1KB1R w KQkq - 1 6,"{'type': 'cp', 'value': 32}"
rnb1kb1r/ppq2ppp/3ppn2/2P5/4P3/2P2N2/PPQ2PPP/RNB1KB1R b KQkq - 0 6,"{'type': 'cp', 'value': 34}"
rnb1kb1r/pp3ppp/3ppn2/2q5/4P3/2P2N2/PPQ2PPP/RNB1KB1R w KQkq - 0 7,"{'type': 'cp', 'value': 34}"
rnb1kb1r/pp3ppp/3ppn2/2q5/4P3/2P1BN2/PPQ2PPP/RN2KB1R b KQkq - 1 7,"{'type': 'cp', 'value': 40}"
rnb1kb1r/ppq2ppp/3ppn2/8/4P3/2P1BN2/PPQ2PPP/RN2KB1R w KQkq - 2 8,"{'type': 'cp', 'value': 45}"
rnb1kb1r/ppq2ppp/3ppn2/8/2P1P3/4BN2/PPQ2PPP/RN2KB1R b KQkq - 0 8,"{'type': 'cp', 'value': 37}"
rnb1kb1r/ppq2ppp/4pn2/3p4/2P1P3/4BN2/PPQ2PPP/RN2KB1R w KQkq - 0 9,"{'type': 'cp', 'value': 40}"
rnb1kb1r/ppq2ppp/4pn2/3P4/2P5/4BN2/PPQ2PPP/RN2KB1R b KQkq - 0 9,"{'type': 'cp', 'value': 33}"
rnb1kb1r/ppq2ppp/4p3/3n4/2P5/4BN2/PPQ2PPP/RN2KB1R w KQkq - 0 10,"{'type': 'cp', 'value': 24}"
rnb1kb1r/ppq2ppp/4p3/3n4/2P5/5N2/PPQB1PPP/RN2KB1R b KQkq - 1 10,"{'type': 'cp', 'value': 4}"
rnb1kb1r/ppq2ppp/4pn2/8/2P5/5N2/PPQB1PPP/RN2KB1R w KQkq - 2 11,"{'type': 'cp', 'value': 36}"
rnb1kb1r/ppq2ppp/4pn2/8/2P5/5NP1/PPQB1P1P/RN2KB1R b KQkq - 0 11,"{'type': 'cp', 'value': 7}"
rn2kb1r/ppqb1ppp/4pn2/8/2P5/5NP1/PPQB1P1P/RN2KB1R w KQkq - 1 12,"{'type': 'cp', 'value': 31}"
rn2kb1r/ppqb1ppp/4pn2/8/2P5/5NP1/PPQB1PBP/RN2K2R b KQkq - 2 12,"{'type': 'cp', 'value': 3}"
rn2k2r/ppqb1ppp/3bpn2/8/2P5/5NP1/PPQB1PBP/RN2K2R w KQkq - 3 13,"{'type': 'cp', 'value': 18}"
rn2k2r/ppqb1ppp/3bpn2/8/P1P5/5NP1/1PQB1PBP/RN2K2R b KQkq - 0 13,"{'type': 'cp', 'value': 7}"
rn3rk1/ppqb1ppp/3bpn2/8/P1P5/5NP1/1PQB1PBP/RN2K2R w KQ - 1 14,"{'type': 'cp', 'value': 8}"
